Batch,CreateTime,Number,Name,Status,Quantity,ItemLine,ModelSummary,Workload,FinishTime,DrwReleaseTarget,DrwReleaseTime,,,,,,,,,,,,,PackingDate,,Purchase,Value,MonthOfInvoice,Remark,,,,
,2023/8/24,FSO230341,Hangzhou Four Seasons BOH杭州四季后场,in production,34,14,UVF(29)/CMOD-F(3)/UVI(2)/CCW(1),71.0,2023/10/15,9/19,9/19,9/19,9/23,9/20,9/25,9/20,9/27,9/21,10/5,9/22,10/8,,,,,," 658,480.53 ",Sep,,,,,
,2023/9/22,FSO230386,Chengdu Huawei U6成都华为U6改造,in production,2,8,UVF(2),4.0,2023/10/10,9/22,9/22,9/25,9/25,9/26,9/26,9/28,9/28,10/5,10/5,10/6,10/6,,,,,," 231,708.19 ", Oct??? ,10/10出货,,,,
,2023/8/28,FSO230340,Aramco ZULFO - KSA,in production,6,3,KVC(6),15.0,2023/10/10,9/13,9/11,9/14,9/14,9/15,9/18,9/18,9/19,10/6,10/6,10/7,10/8,,,,,," 148,763.26 ", Oct??? ,10/10出货,,,,
,2023/8/28,FSO230342,"Pierre Herme - Four Seasons Hotel Renovation, KSA",in production,2,2,UVF(1)/KVV(1),3.0,2023/10/13,9/13,9/12,9/14,9/14,9/18,9/28,9/19,10/5,10/6,10/6,10/7,10/8,,,,,1.2 304 3200拉丝板-9/21&MU5-10/10," 61,406.82 ", Oct??? ,,,,,
,2023/9/19,FSO230374,Jinshan Hyatt BAN12-M1,in production,1,1,KVI(1),1.0,2023/10/12,9/26,9/21,9/25,9/25,10/5,10/5,10/6,10/6,10/7,10/7,10/8,10/9,,,,,," 11,070.38 ", Oct??? ,,,,,
,2023/9/25,FSO230390,Jiaxing Lego嘉兴乐高,in production,1,1,UVF(1),2.0,2023/10/13,9/25,9/25,9/26,9/26,10/5,10/5,10/6,10/6,10/7,10/7,10/8,10/9,,,,,," 22,123.89 ", Oct??? ,10/16之前出货,,,,
,2023/9/4,FSO230352,Five Guys - Macau Treasure Island,drawings checking(client),3,2,UVF(3)/Ansul,7.5,2023/10/20→10/15,9/25,,9/26,9/26,10/6,10/6,10/7,10/7,10/8,10/8,10/9,10/10,,,,,," 125,139.66 ", Oct??? ,,,,,
,2023/9/22,FSO230387,Shangri-la Qiantan 4F Renovation前滩香格里拉外卖厨房 ,drawings checking(client),7,,UVF(7) ,14.0,2023/10/18,9/26,,9/27,9/27,10/6,10/7,10/7,10/8,10/8,10/9,10/10,10/12,,,,,," 130,973.45 ", Oct??? ,,,,,
,2023/8/2,FSO230301,Jinshun Electronics industrial park金顺电子材料产业园,in production,9,15,UVF(8)/UVI(1)/UCP(2)/Ansul,23.0,2023/10/15,9/11,9/8,9/12,9/12,9/14,9/15,9/15,9/16,9/20,9/20,10/5,10/14,,,10/15,,," 462,061.06 ", Oct??? ,,,,,
2,2023/4/6,FSO230139-2,Huawei Qingpu E area staff kitchen华为青浦E区员工厨房,in production,14,31,UVF(11)/UVI(3)/Ansul/Ansul box(3),33.5,2023/9/22→10/31,6/27,6/16,6/28,6/28,9/19,10/12,10/12,10/13,10/13,10/14,10/16,10/23,,,10/24,,," 883,471.98 ", Oct??? ,,,,,
3,2023/4/6,FSO230139-3,Huawei Qingpu E area staff kitchen华为青浦E区员工厨房,in production,14,31,UVF(11)/UVI(3)/Ansul/Ansul box(3),33.5,2023/9/22→10/31,6/28,6/16,6/29,6/30,10/13,10/14,10/14,10/16,10/16,10/17,10/18,10/24,,,10/25,,," 926,832.74 ", Oct??? ,,,,,
,2023/9/25,FSO230392,Macau Venetian - Shop 2503,drawings checking(client),2,2,KCH(2)/Ansul,2.0,2023/10/31,10/20,,,,,,,,,,,,,,,,," 5,905.31 ", Oct??? ,,,,,
